language	comparison	criterion	spearman_r	spearman_p	quadratic_CohenK
Basque	human_1_vs_human_2	Adequacy	0.89	0.0	0.881
Basque	human_1_vs_human_2	Fluency	0.441	0.0148	0.207
Basque	human_1_vs_human_2	General_Quality	0.813	0.0	0.781
Basque	model_vs_human_1	Adequacy	0.607	0.0004	0.559
Basque	model_vs_human_1	Fluency	0.212	0.2597	0.19
Basque	model_vs_human_1	General_Quality	0.605	0.0004	0.538
Basque	model_vs_human_2	Adequacy	0.678	0.0	0.568
Basque	model_vs_human_2	Fluency	0.126	0.5084	0.032
Basque	model_vs_human_2	General_Quality	0.567	0.0011	0.406
Croatian	model_vs_human_1	Adequacy	0.777	0.0	0.688
Croatian	model_vs_human_1	Fluency	0.189	0.3163	0.035
Croatian	model_vs_human_1	General_Quality	0.768	0.0	0.618
Flemish	human_1_vs_human_2	Adequacy	0.871	0.0	0.87
Flemish	human_1_vs_human_2	Fluency	0.59	0.0006	0.543
Flemish	human_1_vs_human_2	General_Quality	0.838	0.0	0.844
Flemish	model_vs_human_1	Adequacy	0.791	0.0	0.581
Flemish	model_vs_human_1	Fluency	0.317	0.0879	0.178
Flemish	model_vs_human_1	General_Quality	0.606	0.0004	0.5
Flemish	model_vs_human_2	Adequacy	0.866	0.0	0.66
Flemish	model_vs_human_2	Fluency	0.178	0.3458	0.063
Flemish	model_vs_human_2	General_Quality	0.682	0.0	0.499
Hungarian	model_vs_human_1	Adequacy	0.308	0.0972	0.256
Hungarian	model_vs_human_1	Fluency	-0.067	0.7262	-0.014
Hungarian	model_vs_human_1	General_Quality	0.326	0.0791	0.313
Latvian	human_1_vs_human_2	Adequacy	0.821	0.0	0.803
Latvian	human_1_vs_human_2	Fluency	0.437	0.0158	0.41
Latvian	human_1_vs_human_2	General_Quality	0.776	0.0	0.741
Latvian	model_vs_human_1	Adequacy	0.559	0.0013	0.464
Latvian	model_vs_human_1	Fluency	0.454	0.0117	0.311
Latvian	model_vs_human_1	General_Quality	0.693	0.0	0.462
Latvian	model_vs_human_2	Adequacy	0.661	0.0001	0.48
Latvian	model_vs_human_2	Fluency	0.264	0.1587	0.115
Latvian	model_vs_human_2	General_Quality	0.71	0.0	0.522
Polish	human_1_vs_human_2	Adequacy	0.845	0.0	0.877
Polish	human_1_vs_human_2	Fluency	0.044	0.8173	0.059
Polish	human_1_vs_human_2	General_Quality	0.849	0.0	0.84
Polish	model_vs_human_1	Adequacy	0.833	0.0	0.587
Polish	model_vs_human_1	Fluency	0.162	0.3939	0.108
Polish	model_vs_human_1	General_Quality	0.686	0.0	0.499
Polish	model_vs_human_2	Adequacy	0.755	0.0	0.6
Polish	model_vs_human_2	Fluency	0.127	0.5022	0.057
Polish	model_vs_human_2	General_Quality	0.715	0.0	0.586
Portuguese	human_1_vs_human_2	Adequacy	0.876	0.0	0.959
Portuguese	human_1_vs_human_2	Fluency	0.415	0.0225	0.294
Portuguese	human_1_vs_human_2	General_Quality	0.776	0.0	0.764
Portuguese	model_vs_human_1	Adequacy	0.728	0.0	0.718
Portuguese	model_vs_human_1	Fluency	-0.134	0.4792	-0.045
Portuguese	model_vs_human_1	General_Quality	0.693	0.0	0.57
Portuguese	model_vs_human_2	Adequacy	0.699	0.0	0.742
Portuguese	model_vs_human_2	Fluency	0.145	0.4446	0.011
Portuguese	model_vs_human_2	General_Quality	0.594	0.0005	0.582
Serbian	model_vs_human_1	Adequacy	0.35	0.0576	0.252
Serbian	model_vs_human_1	Fluency	0.051	0.7874	-0.018
Serbian	model_vs_human_1	General_Quality	0.24	0.2014	0.188
Slovak	human_1_vs_human_2	Adequacy	0.831	0.0	0.827
Slovak	human_1_vs_human_2	Fluency	0.629	0.0002	0.596
Slovak	human_1_vs_human_2	General_Quality	0.872	0.0	0.846
Slovak	model_vs_human_1	Adequacy	0.71	0.0	0.519
Slovak	model_vs_human_1	Fluency	0.227	0.2283	0.128
Slovak	model_vs_human_1	General_Quality	0.736	0.0	0.522
Slovak	model_vs_human_2	Adequacy	0.715	0.0	0.543
Slovak	model_vs_human_2	Fluency	0.063	0.7421	0.024
Slovak	model_vs_human_2	General_Quality	0.745	0.0	0.539
Slovenian	human_1_vs_human_2	Adequacy	0.719	0.0	0.646
Slovenian	human_1_vs_human_2	Fluency	0.746	0.0	0.669
Slovenian	human_1_vs_human_2	General_Quality	0.782	0.0	0.782
Slovenian	model_vs_human_1	Adequacy	0.69	0.0	0.602
Slovenian	model_vs_human_1	Fluency	0.029	0.8778	0.044
Slovenian	model_vs_human_1	General_Quality	0.514	0.0044	0.372
Slovenian	model_vs_human_2	Adequacy	0.583	0.0007	0.545
Slovenian	model_vs_human_2	Fluency	-0.057	0.7657	0.01
Slovenian	model_vs_human_2	General_Quality	0.438	0.0156	0.335
